# enforce: 7925 rows -- regenerate with `make baseline`
adapt:10329	to thrust or push with horns	->	to thrust or push
adapt:1105	to call or summon one to a place	->	to call or summon one
adapt:1106	to call or summon one to a place	->	to call or summon one
adapt:11233	horn of an animal or constellation	->	horn of an animal
adapt:11236	horn of an animal or constellation	->	horn of an animal
adapt:11239	horn of an animal or constellation	->	horn of an animal
adapt:11249	city on the west coast of the Messenian bay	->	city on the west coast
adapt:12010	ancient chief town of the Sabines	->	ancient chief town
adapt:12011	ancient Cretan people worshipping Jupiter with music and dance	->	ancient Cretan people worshipping Jupiter
adapt:12018	of or belonging to a mother	->	belonging to a mother
adapt:12139	town of Æolis near modern Sanderli	->	town
adapt:12247	Cythera island in the Aegean Sea	->	Cythera island
adapt:12303	chief magistrate in some Greek states	->	chief magistrate
adapt:12540	to boil away in a pot	->	to boil away
adapt:12606	run down from a higher point	->	run down
adapt:12904	small island in the Aegean Sea	->	small island
adapt:12905	small island in the Aegean Sea	->	small island
adapt:12968	small island in the Aegean Sea	->	small island
adapt:13406	to put down as a participle	->	to put down as
adapt:1344	copper or bronze covered or furnished	->	copper or bronze covered
adapt:1401	to be agitated or in violent commotion	->	to be agitated
adapt:14422	pretend something is not what it is	->	pretend something is not what
adapt:14729	of or belonging to a lord or master	->	lord or master
adapt:15173	to eat as noun or verb?	->	to eat as noun
adapt:15482	city of Elaeus on the Hellespont in Thrace	->	city of Elaeus
adapt:15485	people of the Eleutheri Cadurci in Gallia Narbonensis	->	people of the Eleutheri Cadurci
adapt:15824	name of several mythic women and fountains	->	name of several mythic women
adapt:16048	guest at a feast or banquet	->	guest at a feast
adapt:16179	copper or bronze covered or furnished	->	copper or bronze covered
adapt:16379	shout of joy at Bacchus festivals	->	shout of joy
adapt:16528	shout of joy at Bacchus festivals	->	shout of joy
adapt:1655	one who blows a horn in war	->	one who blows a horn
adapt:17392	one who prophesies by inspecting entrails of animals	->	one who prophesies
adapt:17448	to be an exile or banished person	->	to be an exile
adapt:17489	skilled worker in wood or stone	->	skilled worker in wood
adapt:17719	small tributary of the Tiber in the country of the Sabines	->	small tributary of the Tiber
adapt:17938	of or relating to interest or usury	->	relating to interest or usury
adapt:1797	city on northern coast of Sicily	->	city on northern coast
adapt:17981	to cause to rise or ferment	->	to cause to rise
adapt:1800	son of Agamemnon and Clytemnestra or Brisēis	->	son of Agamemnon and Clytemnestra
adapt:18130	to leave by will to a third party in trust	->	to leave by will
adapt:18158	trust in a person or thing	->	trust in a person
adapt:1826	river forming boundary between Macedonia and Thessaly	->	river forming boundary between Macedonia
adapt:18369	eighth letter of the Latin alphabet and the weakest guttural	->	eighth letter
adapt:19027	Roman family name of the Fulvius gens	->	Roman family name
adapt:19058	city of Fundanius on the Appian Way	->	city of Fundanius
adapt:19123	Roman family name of the Furius family	->	Roman family name
adapt:19333	Gallic tribe in Mont Cenis valleys	->	Gallic tribe
adapt:19334	rich fish sauce favored by Romans	->	rich fish sauce favored
adapt:19399	city of Gela on southern Sicily	->	city of Gela
adapt:19413	steps of the bridge of sighs	->	steps of the bridge
adapt:19471	ancient Roman goddesses presiding over submanes	->	ancient Roman goddesses presiding
adapt:19474	of or belonging to generation or birth	->	belonging to generation or birth
adapt:19482	river of Grecian Illyria north of Apollonia	->	river of Grecian Illyria north
adapt:19490	of a particular clan or gens	->	particular clan or gens
adapt:1953	to strike or dash one thing upon or against another	->	to strike
adapt:19548	small city or fortress in Appulia	->	small city or fortress
adapt:19574	celtic heavy javelin of the Gauls	->	celtic heavy javelin
adapt:19597	tributary of the Tigris in Assyria	->	tributary of the Tigris
adapt:19607	mule from a stallion and a she‑ass	->	mule from a stallion
adapt:19670	amber island in the North Sea	->	amber island
adapt:19691	to wind or form into a ball	->	to wind or form
adapt:19752	city of Egnatia on the coast of Apulia	->	city of Egnatia
adapt:19903	of or belonging to painting or drawing	->	belonging to painting or drawing
adapt:19904	of or belonging to painting or drawing	->	belonging to painting or drawing
adapt:20168	city on northern coast of Sicily	->	city on northern coast
adapt:20377	elevated part of the Palatine Hill at Rome	->	elevated part
adapt:20400	hemlock plant used for mental disease	->	hemlock plant used
adapt:20494	god of strength and guardian of riches	->	god of strength and guardian
adapt:20496	god of strength and guardian of riches	->	god of strength and guardian
adapt:20526	god of strength and guardian of riches	->	god of strength and guardian
adapt:20530	god of strength and guardian of riches	->	god of strength and guardian
